"COMPANY","BUSINESSUNIT","ASSET","ASSETNAME","EQUIPMENTTYPE","PARENTASSET","COMPANYLEVEL"
"ORANGE","CAT-GARCI","400000381B","CSAI_5_S-1_SALA RI_SAI ABB 1_2","CDRCBT","400000373",8
"ORANGE","CAL-FORJA","600003459","SAI_01_SALA SAI (200 kVA)","SAISAI","CAL-FORJA-SAI",6
"ORANGE","MAD-ULISE","600003473","SalaReu_Arare_P04","SLREUN","MAD-ULISE-REH",6
"ORANGE","MAD-ULISE","600003474","SalaReu_Pretoria_P04","SLREUN","MAD-ULISE-REH",6
"ORANGE","MAD-ULISE","600003475","SalaReu_Tunez_P04","SLREUN","MAD-ULISE-REH",6
"ORANGE","MAD-ULISE","600003476","SalaReu_Lagos_P04","SLREUN","MAD-ULISE-REH",6
"ORANGE","AND-MATEO","600003524","AUTOMATA CONTROL GE_2","GRPATC","503044971",7
"ORANGE","CAL-FORJA","600003576","VENT_09_PB_SALA BATERIAS","VNTVNC","CAL-FORJA-CLC",6
"ORANGE","CAL-FORJA","600003577","EXTRAC_11_PB_SALA BATERIAS","VNTVNC","CAL-FORJA-CLC",6
"ORANGE","CAL-FORJA","600003578","VENT_10_PB_PASILLO CLIMA TECNICO","VNTVNC","CAL-FORJA-CLC",6
"ORANGE","AND-MATEO","600003581","CLC_3_UNI_EXT_SALA MANTENIMIENTO","CLAPPA","AND-MATEO-CLC",6
"ORANGE","AND-MATEO","600003582","CLC_3_UNI_INT_SALA MANTENIMIENTO","CLAPPA","600003581",7
"ORANGE","AND-MATEO","600003584","CLC_5_UNI_INT_SALA CONTROL","CLAPPA","600003583",7
"ORANGE","CAL-FORJA","600003590","FC_CL_01_UTA_PB_PASILLO TECN","CLTCVS","600000842",8
"ORANGE","MAD-ULISE","600000504","BAT SAI_04_BATERIAS SAI 06","SAIBAT","600000502",7
"ORANGE","CAL-FORJA","501416122","CLC_1B_UN EXT CONDENSADORAS","CLPCPA","CAL-FORJA-CLC",6
"ORANGE","CAL-FORJA","600003383","CLC_03_UN EXT_DIRECTOR","CLPCPE","CAL-FORJA-CLC",6
"ORANGE","CAL-FORJA","600003384","CLC_03_UN INT_PB_DIRECTOR","CLPCPI","600003383",7
"ORANGE","CAT-GARCI","400000440B","BAT. CONDENSADORES  Nº1 ALUM Y FZA","EQPCON","400000371",7
"ORANGE","CAT-GARCI","600003391","CGBT_01_S-2_SALA ENERGIA_CLT/CLC","CDRCBT","CAT-GARCI-ALI",6
"ORANGE","MAD-ULISE","400009274B","BATERIA CONDENSADORES P0","EQPCON","400009240",7
"ORANGE","CAL-FORJA","600003096","BOMBA COMBUSTIBLE_1","GRPBMB","CAL-FORJA-GEL",6
"ORANGE","CAL-FORJA","600003149","CLC_01_UN EXT_GARITA SEGURIDAD","CLPCPE","CAL-FORJA-CLC",6
"ORANGE","CAL-FORJA","600003150","CLC_01_UN INT_PB_GARITA SEGURIDAD","CLPCPI","600003149",7
"ORANGE","CAL-FORJA","600003159","TELEGESTIÓN ALARMAS INFRAESTRUCTURAS","ATCTLC","CAL-FORJA-SYC",6
"ORANGE","CAL-FORJA","600003160","SONDAS TEMPERATURA","DYSSTE","600003159",7
"ORANGE","MAD-ULISE","600003472","SalaReu_Rabat_P04","SLREUN","MAD-ULISE-REH",6
"ORANGE","CAL-FORJA","600003387","CLC_1D_UN EXT_CONDENSADORAS","VRNUEV","CAL-FORJA-CLC",6
"ORANGE","CAL-FORJA","600003388","CLC_2D_UN INT_PB_PRADERA FONDO IZQ","VRNUIV","600003387",7
"ORANGE","CAL-FORJA","600003390","CLC_4D_UN INT_PB_SALA NASSAU","VRNUIV","600003387",7
"ORANGE","MAD-ULISE","501386685","CLC_68_P4_FANCOIL_17 P4","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009022","CL_11_UTA_P1_RC 5 MSC1 PASILLO TÉC.","CLPCIP","600003951",7
"ORANGE","CAT-GARCI","600000169","ANALIZADOR RED CIRCUTOR General_Clima","MDDANB","CAT-GARCI-ALI",6
"ORANGE","CAT-GARCI","600000310","CLC_11 UN INT B/C RECEPCIÓN Nº 1","CLPCPI","400000029",7
"ORANGE","MAD-ULISE","400009274","BATERIA CONDENSADORES P0","EQPCON","MAD-ULISE-ALI",6
"ORANGE","MAD-ULISE","400009275","BATERIA CONDENSADORES CUBIERTA","EQPCON","MAD-ULISE-ALI",6
"ORANGE","MAD-ULISE","502116320","CBT_15_P1_P. TECNICO_CLIMA 1","CDRCBT","502116318",8
"ORANGE","MAD-ULISE","400009256","CBT_21_P1_S. CONM 1_ALUMBRADO","CDRCBT","400009251",8
"ORANGE","MAD-ULISE","400009239","CBT_18_P1_CNOR_ALUMBRADO","CDRCBT","400009251",8
"ORANGE","MAD-ULISE","400009265","CBT_22_P2_S. CONM 2_ALUMBRADO","CDRCBT","400009251",8
"ORANGE","MAD-ULISE","502116323","CBT_23_P2_S. CONM 2_CLIMA1","CDRCBT","502116318",8
"ORANGE","MAD-ULISE","502116324","CBT_24_P2_S. CONM 2_CLIMA2","CDRCBT","502116318",8
"ORANGE","MAD-ULISE","400009273","CBT_25_P2_S. HOUSING_CLIMA 4","CDRCBT","502116318",8
"ORANGE","MAD-ULISE","400009259","CBT_26_P2_S. BAT. 3_CLIMA 3","CDRCBT","502116318",8
"ORANGE","CAL-FORJA","600003579","EXTRAC_12_PB_SALA CONTROL","VNTVNC","CAL-FORJA-CLC",6
"ORANGE","MAD-ULISE","600003477","ANALIZADOR RED CIRCUTOR MSC1_ACTURA 1","MDDANB","MAD-ULISE-ALI",6
"ORANGE","MAD-ULISE","600003490","CANALIZACIONES Y PASAMUROS","OBCCAN","MAD-ULISE-OBC",6
"ORANGE","MAD-ULISE","600003547","RECUP. ENTALPICO ROTATIVO 4 P3","CLCREC","MAD-ULISE-CLC",6
"ORANGE","MAD-ULISE","600003548","RECUP. ENTALPICO ROTATIVO 5 P3","CLCREC","MAD-ULISE-CLC",6
"ORANGE","MAD-ULISE","600003549","RECUP. ENTALPICO ROTATIVO 6 P4","CLCREC","MAD-ULISE-CLC",6
"ORANGE","MAD-ULISE","600003550","RECUP. ENTALPICO ROTATIVO 7 P4","CLCREC","MAD-ULISE-CLC",6
"ORANGE","MAD-ULISE","600003551","RECUP. ENTALPICO ROTATIVO 8 P4","CLCREC","MAD-ULISE-CLC",6
"ORANGE","MAD-ULISE","600003552","CLC_16_P1_FANCOIL_16 P1","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","600003554","CLC_25_P2_FANCOIL_8  P2","CLCFNC","400009090",7
"ORANGE","CAL-FORJA","600003565","MODULO_1","SD","600003459",7
"ORANGE","CAL-FORJA","600003566","MODULO_2","SD","600003459",7
"ORANGE","CAL-FORJA","600003460B","BAT SAI_01_SALA SAI","SAIBAT","600003459",7
"ORANGE","AND-MATEO","600003583","CLC_5_UNI_EXT_SALA CONTROL","CLAPPA","AND-MATEO-CLC",6
"ORANGE","CAT-GARCI","400000430C","CSAI_BAT_01 C SECCIN BATERIAS SAI1","CDRCBT","600002831",7
"ORANGE","CAT-GARCI","400000428","CSAI_BAT_02 C SECCIN BATERIAS SAI2","CDRCBT","CAT-GARCI-SAI",6
"ORANGE","CAT-GARCI","600002704","SalaReu_Bahía Blanca_P-1","SLREUN","CAT-GARCI-REH",6
"ORANGE","MAD-ULISE","502116321","CBT_29_P3_S. TECN CORP_CLIMA","CDRCBT","502116318",8
"ORANGE","MAD-ULISE","400009264","CBT_30_P3_S. TECN CORP_USOS VARIOS","CDRCBT","400009251",8
"ORANGE","MAD-ULISE","400009252","CBT_33_CU_CASETA_GENERAL DISTRIBUCION","CDRCBT","600003268",7
"ORANGE","MAD-ULISE","400009249","CGSAI_01_P0_S. SAI_DISTRIBUCION SAI","CDRCBT","400009250",7
"ORANGE","MAD-ULISE","502116329","CSAI_02_P0_ SEGURIDAD_USOS VARIOS","CDRCBT","400009249",8
